file,current,backup,music,merged,recovered
App/AppDelegate.swift,✓,✓,✓,✓,✓
App/RootView.swift,✓,✓,✓,✓,✗
App/Utilities/AuthenticationHelper.swift,✓,✓,✓,✓,✗
App/Utilities/ColorTheme.swift,✓,✓,✓,✓,✗
App/Utilities/FontManager.swift,✓,✓,✓,✓,✗
App/Utilities/LoggingExtensions.swift,✓,✓,✓,✓,✗
App/Utilities/LoggingManager.swift,✓,✓,✓,✓,✗
App/Utilities/RestoreManager.swift,✓,✓,✓,✓,✗
App/dontpullup.swift,✓,✓,✓,✓,✗
App/dontpullupApp.swift,✓,✓,✓,✓,✓
Authentication/AuthState.swift,✓,✓,✗,✓,✓
Authentication/AuthenticationManager.swift,✓,✓,✗,✓,✓
BuildHelper.swift,✓,✓,✓,✓,✗
FixImports.swift,✓,✓,✓,✓,✗
Models/IncidentType.swift,✓,✓,✓,✓,✗
Models/Pin.swift,✓,✓,✓,✓,✗
Resources/AuthenticationManager.swift,✓,✓,✓,✓,✗
Services/AuthState.swift,✓,✓,✓,✓,✗
Services/FirebaseManager.swift,✓,✓,✓,✓,✗
Services/FontManager.swift,✓,✓,✗,✓,✓
Services/NetworkMonitor.swift,✓,✓,✓,✓,✗
ViewModels/AuthViewModel.swift,✓,✓,✓,✓,✓
ViewModels/MapViewModel.swift,✓,✓,✓,✓,✓
ViewModels/UserAuthViewModel.swift,✓,✓,✓,✓,✓
Views/AuthStateView.swift,✓,✓,✓,✓,✗
Views/AuthView.swift,✓,✓,✓,✓,✓
Views/ContentView.swift,✓,✓,✗,✓,✓
Views/HelpView.swift,✓,✓,✓,✓,✗
Views/IncidentFilterButtons.swift,✓,✓,✓,✓,✗
Views/IncidentTypePicker.swift,✓,✓,✓,✓,✗
Views/MainTabView.swift,✓,✓,✓,✓,✓
Views/MapView.swift,✓,✓,✓,✓,✗
Views/ProfileView.swift,✓,✓,✓,✓,✓
Views/ResourcesView.swift,✓,✓,✓,✓,✗
Views/RootView.swift,✓,✓,✗,✓,✓
Views/SettingsView.swift,✓,✓,✓,✓,✓
Views/SplashScreen.swift,✓,✓,✓,✓,✓
Views/SplashScreen_raw.swift,✓,✓,✗,✓,✓
Views/SupportingViews.swift,✓,✓,✓,✓,✓
